;Tick;Base;sample_size_Open;mean_Open;std_Open;p1_Open;p5_Open;p10_Open;p25_Open;p50_Open;p75_Open;p90_Open;p95_Open;p99_Open;sample_size_High;mean_High;std_High;p1_High;p5_High;p10_High;p25_High;p50_High;p75_High;p90_High;p95_High;p99_High;sample_size_Low;mean_Low;std_Low;p1_Low;p5_Low;p10_Low;p25_Low;p50_Low;p75_Low;p90_Low;p95_Low;p99_Low;sample_size_Close;mean_Close;std_Close;p1_Close;p5_Close;p10_Close;p25_Close;p50_Close;p75_Close;p90_Close;p95_Close;p99_Close;sample_size_Volume;mean_Volume;std_Volume;p1_Volume;p5_Volume;p10_Volume;p25_Volume;p50_Volume;p75_Volume;p90_Volume;p95_Volume;p99_Volume;sample_size_N_trades;mean_N_trades;std_N_trades;p1_N_trades;p5_N_trades;p10_N_trades;p25_N_trades;p50_N_trades;p75_N_trades;p90_N_trades;p95_N_trades;p99_N_trades
ADABIDR;;;340.000000000000000;20164.308823529408983;851.089382486333761;17691.479999999999563;18500.000000000000000;18827.200000000000728;19785.000000000000000;20400.000000000000000;20670.000000000000000;20984.400000000001455;21247.049999999999272;21817.040000000008149;340.000000000000000;20282.514705882356793;848.704259664090728;17798.909999999999854;18601.950000000000728;19000.000000000000000;19971.000000000000000;20443.000000000000000;20774.750000000000000;21112.000000000000000;21365.000000000000000;22169.610000000000582;340.000000000000000;19999.976470588237135;1012.396187578181980;17209.750000000000000;18396.200000000000728;18594.200000000000728;19522.000000000000000;20329.000000000000000;20580.000000000000000;20807.400000000001455;20989.549999999999272;21364.610000000000582;340.000000000000000;20103.382352941171121;846.268300339301163;17539.610000000000582;18398.900000000001455;18722.299999999999272;19732.750000000000000;20358.000000000000000;20650.250000000000000;20885.099999999998545;21024.700000000000728;21433.319999999999709;340.000000000000000;849.045588235294190;1623.379046277332236;0.000000000000000;1.000000000000000;9.050000000000001;44.725000000000001;249.199999999999989;817.774999999999864;2240.769999999999982;4025.019999999999982;8645.519000000009328;340.000000000000000;11.341176470588236;12.937226669964264;0.000000000000000;1.000000000000000;2.000000000000000;4.000000000000000;7.000000000000000;14.000000000000000;23.100000000000023;33.050000000000011;61.050000000000075
ADABNB;ADA;BNB;2754.000000000000000;0.004422477124183;0.000236048306187;0.004146000000000;0.004174650000000;0.004195000000000;0.004250000000000;0.004322000000000;0.004570000000000;0.004853100000000;0.004915350000000;0.004999470000000;2754.000000000000000;0.004435782861293;0.000240262361250;0.004152530000000;0.004183000000000;0.004203000000000;0.004260000000000;0.004333500000000;0.004588000000000;0.004865700000000;0.004935000000000;0.005017000000000;2754.000000000000000;0.004409238562092;0.000231604287980;0.004142000000000;0.004165650000000;0.004187000000000;0.004241000000000;0.004311000000000;0.004548750000000;0.004836700000000;0.004897000000000;0.004972470000000;2754.000000000000000;0.004422133260712;0.000235689387383;0.004146000000000;0.004173650000000;0.004195000000000;0.004250000000000;0.004322000000000;0.004569000000000;0.004851000000000;0.004915000000000;0.004998470000000;2754.000000000000000;63197.984749455339625;62890.928067292392370;6435.640000000000327;10795.250000000000000;14741.600000000000364;25487.250000000000000;45278.000000000000000;79047.500000000000000;131834.800000000075670;176418.899999999965075;298895.149999999906868;2754.000000000000000;192.642338416848190;153.966801144004023;30.530000000000001;46.000000000000000;59.000000000000000;91.000000000000000;149.000000000000000;243.000000000000000;385.700000000000216;491.000000000000000;755.349999999999000
ADABTC;ADA;BTC;2754.000000000000000;0.000042662291213;0.000003223753594;0.000038450000000;0.000038700000000;0.000038880000000;0.000039510000000;0.000041920000000;0.000046140000000;0.000046960000000;0.000047303500000;0.000047964700000;2754.000000000000000;0.000042800355846;0.000003233324172;0.000038580600000;0.000038800000000;0.000038970000000;0.000039630000000;0.000042090000000;0.000046300000000;0.000047117000000;0.000047410000000;0.000048150000000;2754.000000000000000;0.000042520068991;0.000003209897960;0.000038300000000;0.000038620000000;0.000038790000000;0.000039390000000;0.000041775000000;0.000045997500000;0.000046820000000;0.000047200000000;0.000047848800000;2754.000000000000000;0.000042660635439;0.000003223830587;0.000038445300000;0.000038700000000;0.000038880000000;0.000039510000000;0.000041920000000;0.000046137500000;0.000046960000000;0.000047310000000;0.000047970000000;2754.000000000000000;599015.778503994224593;582077.966167999547906;77396.410000000003492;114488.699999999997090;147498.500000000000000;239574.750000000000000;414829.500000000000000;734866.500000000000000;1267670.600000001024455;1734641.250000000000000;2888729.829999995417893;2754.000000000000000;1380.468046477850294;1171.219134320488820;333.529999999999973;423.000000000000000;489.000000000000000;685.500000000000000;1028.500000000000000;1679.500000000000000;2693.200000000001637;3483.849999999999000;5467.029999999989741
ADAETH;ADA;ETH;2754.000000000000000;0.000626608714597;0.000019854974728;0.000587573600000;0.000599199500000;0.000604356000000;0.000612430000000;0.000622270000000;0.000638767500000;0.000654348000000;0.000665503500000;0.000678538200000;2754.000000000000000;0.000628514190269;0.000019935690799;0.000590520600000;0.000602052000000;0.000606639000000;0.000614190000000;0.000624035000000;0.000640187500000;0.000656415000000;0.000668201000000;0.000681093300000;2754.000000000000000;0.000624719644154;0.000019778704357;0.000584195300000;0.000597109500000;0.000602503000000;0.000610817500000;0.000620605000000;0.000637115000000;0.000652154000000;0.000662515500000;0.000675074100000;2754.000000000000000;0.000626596815541;0.000019838251954;0.000587251500000;0.000599136500000;0.000604653000000;0.000612405000000;0.000622270000000;0.000638785000000;0.000654231000000;0.000665201500000;0.000678768700000;2754.000000000000000;107154.595497458241880;125908.217133694401127;9120.069999999999709;16575.450000000000728;24194.599999999998545;40288.250000000000000;73367.000000000000000;131749.250000000000000;222096.600000000093132;304469.549999999988358;524894.579999997396953;2754.000000000000000;357.878721859114023;362.462935521860743;45.000000000000000;76.000000000000000;95.000000000000000;146.250000000000000;256.000000000000000;444.750000000000000;739.000000000000000;969.149999999999409;1584.349999999999000
ADATUSD;;;2755.000000000000000;1.567994410163339;0.129818254603433;1.273656000000000;1.369520000000000;1.401780000000000;1.476450000000000;1.553700000000000;1.679200000000000;1.741560000000000;1.770300000000000;1.835192000000000;2755.000000000000000;1.573444500907441;0.130231328683491;1.278732000000000;1.375940000000000;1.404220000000000;1.481000000000000;1.559500000000000;1.683000000000000;1.749020000000000;1.776160000000000;1.837938000000000;2755.000000000000000;1.561879600725953;0.129828924505736;1.265000000000000;1.361080000000000;1.398340000000000;1.470450000000000;1.548500000000000;1.674600000000000;1.735000000000000;1.765230000000000;1.831792000000000;2755.000000000000000;1.567276878402904;0.129902526988598;1.270378000000000;1.368510000000000;1.401800000000000;1.475450000000000;1.552900000000000;1.679800000000000;1.740660000000000;1.769760000000000;1.835138000000000;2755.000000000000000;4547.351343012704092;13674.994226070095465;0.000000000000000;0.000000000000000;6.388000000000001;118.390000000000001;967.529999999999973;3453.829999999999927;11140.585999999992055;20528.987999999910244;55592.695600000006380;2755.000000000000000;14.758983666061706;27.453454852879258;0.000000000000000;0.000000000000000;1.000000000000000;2.000000000000000;6.000000000000000;14.000000000000000;39.000000000000000;61.000000000000000;132.460000000000036
ADAUSDC;;;2755.000000000000000;1.568797422867514;0.129951431792564;1.272054000000000;1.370370000000000;1.401600000000000;1.477350000000000;1.553800000000000;1.680100000000000;1.742200000000000;1.770830000000000;1.836392000000000;2755.000000000000000;1.576643339382940;0.130227660638522;1.281424000000000;1.378600000000000;1.408940000000000;1.484750000000000;1.561300000000000;1.686300000000000;1.751120000000000;1.779930000000000;1.843176000000000;2755.000000000000000;1.560379056261343;0.129872529745179;1.261816000000000;1.358880000000000;1.397240000000000;1.469900000000000;1.545800000000000;1.672400000000000;1.734260000000000;1.765000000000000;1.829738000000000;2755.000000000000000;1.568257059891107;0.130073028169004;1.270500000000000;1.370470000000000;1.401940000000000;1.476550000000000;1.552900000000000;1.680100000000000;1.742220000000000;1.770430000000000;1.833938000000000;2755.000000000000000;66989.246863883847254;134948.543855611147592;868.530399999999872;3616.623999999999796;6725.320000000000618;14817.610000000000582;31608.549999999999272;68351.675000000002910;139627.205999999947380;223394.320999999879859;647114.941800000728108;2755.000000000000000;93.760072595281301;139.131574656579687;5.000000000000000;10.000000000000000;14.000000000000000;26.000000000000000;50.000000000000000;108.000000000000000;215.000000000000000;298.599999999999454;630.740000000000691
ADAUSDT;ADA;USDT;2754.000000000000000;1.568119680464779;0.129976446686657;1.270453000000000;1.369700000000000;1.401430000000000;1.476150000000000;1.552500000000000;1.680200000000000;1.742410000000000;1.770640000000000;1.834035000000000;2754.000000000000000;1.576535003631082;0.130041283269070;1.281560000000000;1.378200000000000;1.409430000000000;1.485075000000000;1.561350000000000;1.686775000000000;1.750000000000000;1.778900000000000;1.843947000000000;2754.000000000000000;1.559331735657226;0.129670810915375;1.263177000000000;1.356695000000000;1.396630000000000;1.468600000000000;1.544850000000000;1.671325000000000;1.733240000000000;1.763340000000000;1.827099000000000;2754.000000000000000;1.568045824255628;0.130096762096452;1.270353000000000;1.369800000000000;1.401630000000000;1.476300000000000;1.552550000000000;1.680075000000000;1.741870000000000;1.771110000000000;1.835099000000000;2754.000000000000000;4768251.563322439789772;3720792.343914312776178;722090.099099999992177;1114669.760999999940395;1418692.386999999871477;2176370.535000000149012;3664769.160000000149012;6194791.709999999962747;9478687.782000008970499;11888588.892499998211861;17502561.278799958527088;2754.000000000000000;10582.445896877268751;8055.156962246843250;2012.589999999999918;2640.849999999999909;3240.300000000000182;4700.000000000000000;8345.500000000000000;13996.000000000000000;20966.099999999998545;25623.150000000001455;37779.769999999938591
ADXBTC;ADX;BTC;2754.000000000000000;0.000021841510530;0.000003612958297;0.000014865900000;0.000015500000000;0.000015873000000;0.000017882500000;0.000023500000000;0.000024667500000;0.000025507000000;0.000026043500000;0.000026324700000;2754.000000000000000;0.000021921906318;0.000003634254400;0.000014910000000;0.000015540000000;0.000015930000000;0.000017912500000;0.000023610000000;0.000024767500000;0.000025687000000;0.000026140000000;0.000026400000000;2754.000000000000000;0.000021753028322;0.000003596601041;0.000014825900000;0.000015450000000;0.000015823000000;0.000017840000000;0.000023380000000;0.000024590000000;0.000025407000000;0.000025940000000;0.000026224700000;2754.000000000000000;0.000021838013798;0.000003616042176;0.000014845300000;0.000015490000000;0.000015883000000;0.000017890000000;0.000023500000000;0.000024670000000;0.000025547000000;0.000026030000000;0.000026334700000;2754.000000000000000;20526.960058097312867;58795.714948860979348;298.070000000000050;1191.849999999999909;2067.300000000000182;4360.250000000000000;8957.000000000000000;18190.750000000000000;38792.700000000026193;71088.499999999985448;194753.059999999677530;2754.000000000000000;67.610021786492368;159.991458971605709;5.000000000000000;10.000000000000000;15.000000000000000;24.000000000000000;39.000000000000000;69.000000000000000;124.000000000000000;184.349999999999909;512.469999999999800
ADXETH;ADX;ETH;2754.000000000000000;0.000319151997095;0.000037145157341;0.000244600000000;0.000251900000000;0.000256000000000;0.000282925000000;0.000336050000000;0.000346600000000;0.000358470000000;0.000362800000000;0.000378047000000;2754.000000000000000;0.000320343863471;0.000037555093498;0.000245453000000;0.000252400000000;0.000256930000000;0.000283700000000;0.000337300000000;0.000347500000000;0.000360100000000;0.000364070000000;0.000383194000000;2754.000000000000000;0.000318012817720;0.000036885033549;0.000243900000000;0.000251200000000;0.000255430000000;0.000282200000000;0.000334900000000;0.000345575000000;0.000357370000000;0.000361500000000;0.000375300000000;2754.000000000000000;0.000319127705156;0.000037195916742;0.000244600000000;0.000251700000000;0.000256000000000;0.000283100000000;0.000336000000000;0.000346600000000;0.000358400000000;0.000363100000000;0.000378400000000;2754.000000000000000;5029.941176470588289;11692.502057938607322;0.000000000000000;5.000000000000000;78.600000000000023;510.000000000000000;1738.000000000000000;5384.000000000000000;11503.300000000012005;19099.649999999983265;51560.589999999319843;2754.000000000000000;15.623093681917211;23.845368255361041;0.000000000000000;1.000000000000000;1.000000000000000;5.000000000000000;10.000000000000000;18.000000000000000;33.000000000000000;47.000000000000000;92.000000000000000
AGIBTC;AGI;BTC;407.000000000000000;0.000006257027027;0.000000559999348;0.000005010000000;0.000005253000000;0.000005626000000;0.000005890000000;0.000006110000000;0.000006800000000;0.000006954000000;0.000007040000000;0.000007308200000;407.000000000000000;0.000006318648649;0.000000566848169;0.000005040600000;0.000005313000000;0.000005672000000;0.000005935000000;0.000006200000000;0.000006850000000;0.000007014000000;0.000007110000000;0.000007387600000;407.000000000000000;0.000006194914005;0.000000553536257;0.000004990000000;0.000005212000000;0.000005570000000;0.000005845000000;0.000006050000000;0.000006730000000;0.000006884000000;0.000006960000000;0.000007239400000;407.000000000000000;0.000006260466830;0.000000557315458;0.000005000600000;0.000005263000000;0.000005632000000;0.000005890000000;0.000006120000000;0.000006800000000;0.000006954000000;0.000007047000000;0.000007298200000;407.000000000000000;136082.230958230968099;258771.531068126234459;10495.079999999999927;19152.900000000001455;24546.799999999999272;43543.500000000000000;82959.000000000000000;154949.000000000000000;265101.200000000069849;352183.599999999976717;697615.439999999944121;407.000000000000000;233.796068796068795;260.940936173835667;27.059999999999999;50.000000000000000;65.000000000000000;100.500000000000000;168.000000000000000;302.000000000000000;448.399999999999977;545.099999999999909;939.659999999999854
